"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jan., 1999"	"1999/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"May, 1999"	"1999/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Sep., 1999"	"1999/09"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Nov., 1999"	"1999/11"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Dec., 1999"	"1999/12"	2	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"			7	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Feb., 2000"	"2000/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Mar., 2000"	"2000/03"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"			2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"May, 2002"	"2002/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jun., 2002"	"2002/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jul., 2002"	"2002/07"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Aug., 2002"	"2002/08"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Sep., 2002"	"2002/09"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Dec., 2002"	"2002/12"	2	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"			7	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jan., 2003"	"2003/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"May, 2003"	"2003/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jun., 2003"	"2003/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Dec., 2003"	"2003/12"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"			4	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jan., 2004"	"2004/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jul., 2004"	"2004/07"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Oct., 2004"	"2004/10"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"			3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Sep., 2005"	"2005/09"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Oct., 2005"	"2005/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Nov., 2005"	"2005/11"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"			4	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Jan., 2006"	"2006/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Feb., 2006"	"2006/02"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Mar., 2006"	"2006/03"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"May, 2006"	"2006/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Jun., 2006"	"2006/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Jul., 2006"	"2006/07"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Oct., 2006"	"2006/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Nov., 2006"	"2006/11"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Dec., 2006"	"2006/12"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"			11	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Feb., 2007"	"2007/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"May, 2007"	"2007/05"	3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Jul., 2007"	"2007/07"	1	Not Applicable	Not Applicable
